,Time,User,Tweet
13,2023-01-18 04:31:58+00:00,userygstan,RT @livenationph: #TREASURE #트레저 #TOUR #HELLO #PHILIPPINES #20230413 #LiveNationPH #YG
14,2023-01-18 04:31:35+00:00,asianewsnetwork,"Since 2022, the Marcos administration has been struggling to keep down food prices and ensuring an adequate supply of some key commodities, including red onions and sugar. #Agriculture #economy #Philippines #PhilippineDailyInquirer

https://t.co/ipZPNA0h6c https://t.co/UGmm6fqJZN"
15,2023-01-18 04:30:42+00:00,maraiph,RT @livenationph: #TREASURE #트레저 #TOUR #HELLO #PHILIPPINES #20230413 #LiveNationPH #YG
16,2023-01-18 04:29:10+00:00,focussouth,"Our analysis on last year's national #election in the #Philippines and sub-national elections in #Thailand, #Cambodia, and #India, among others, provides an insightful examination of the changing dynamics of democracy in the region. 

Read at 👇
https://t.co/bNsvsiUITt"
17,2023-01-18 04:29:03+00:00,HairSite,"Calling all doctors &amp; medical professionals worldwide, one of the fastest growing specialties in the medical field awaits you. More at https://t.co/vrXm1qXBpf

#hoshi #Greta #AustralianOpen #WOLLIV #TomBrady #Thiago #Ontario #MarjorieNaziGreene #Philippines #WealthBuilding https://t.co/zOwlx72muy"
18,2023-01-18 04:25:56+00:00,icedov,"RT @LICASnews: “Today, facts win. Truth wins.”

@rapplerdotcom #FactsFirstPH #Philippines #FactsMatter @NobelPrize

https://t.co/UvfgCe4DrE"
19,2023-01-18 04:25:43+00:00,TheTechTourist,Where is TechTourist Today? Come watch now on TWITCH LIVE @ https://t.co/tBZEiNzcId #irl #twitch #streamersph #ebike #philippines
20,2023-01-18 04:25:25+00:00,allthingsfauj,"Quami Ekta Meet At #Rajouri 
#IndianArmyPeoplesArmy #AmritMahotsav #Philippines 
#Amethi #ShibaArmy https://t.co/2QxIzhWsYS"
21,2023-01-18 04:25:23+00:00,fugitivemind_,"RT @LupangHinirang_: Evolution of ASEAN Attire ❤️
 
#AsianSEAStory #SEAsian #ASEAN #Asia #AncientCostumes #NationalCostumes #Traditional #H…"
22,2023-01-18 04:25:10+00:00,tmasahihmd,"RT @TREASURENATION_: [News] Live Nation Philippines, the organizer for PHILIPPINE leg of TREASURE's upcoming ASIA TOUR, changed their ticke…"
23,2023-01-18 04:23:32+00:00,nxjdbjj,"RT @TREASURENATION_: [News] Live Nation Philippines, the organizer for PHILIPPINE leg of TREASURE's upcoming ASIA TOUR, changed their ticke…"
24,2023-01-18 04:21:57+00:00,MonicaBulanday,@muniversepr #affiliate #sponsored #ad #brandambassador #missuniversepuertoricoXmonicabulanday #missuniversepuertorico #monicabulandayaffiliates #monicabulandaypaidpartnerships #QueenOfAffiliatesAndPaidPartnerships #Philippines https://t.co/LazycKeOYJ
25,2023-01-18 04:21:27+00:00,ChaShUeBeSeUn,"RT @Lapillus_love_: 🌟
#Lapillus #LAPILLUS #lapillus #Philippines https://t.co/4VydFc9Fk4"
26,2023-01-18 04:21:19+00:00,queen_ticket,"Updated!!!

[Treasure Ticketing Assistance]
VIP SC to LBB Regular.
🔶 100% success rate.
🔶 No down-payment needed, payment after securing tickets.
🔶 Can provide WeVerse presale access for 50% off.
🔶 Can provide proof of past transacs.

#TREASURE #PHILIPPINES #LiveNationPH #YG https://t.co/qgb38jQRoa"
27,2023-01-18 04:18:54+00:00,NesoiHera07,"RT @TREASURENATION_: [News] Live Nation Philippines, the organizer for PHILIPPINE leg of TREASURE's upcoming ASIA TOUR, changed their ticke…"
28,2023-01-18 04:18:49+00:00,ZamboBot,chinella is equivalent to tsinela and chancla! #Zamboanga #Philippines
29,2023-01-18 04:18:05+00:00,jjunkyublues,"RT @TREASURENATION_: [News] Live Nation Philippines, the organizer for PHILIPPINE leg of TREASURE's upcoming ASIA TOUR, changed their ticke…"
30,2023-01-18 04:16:23+00:00,syedstauheed,"Philippine Nobel laureate Maria Ressa and her online news outlet Rappler have been acquitted of tax evasion.
Source: @washingtonpost
#mariaressa #Philippines"
31,2023-01-18 04:15:42+00:00,kylalaaa_,"TREASURE's HELLO IN MANILA Ticket Assistance is now open! 🖤 

Secure ur tickets with us just like how we secured Blackpink &amp; Enhypen tickets for our previous clients in 30 minutes or less 🤩 

wts - lfb - ph
#TREASURE #트레저 #TOUR #HELLO #PHILIPPINES #TREASURE_HELLO_IN_MANILA https://t.co/6TSLKWnt7S"
32,2023-01-18 04:15:36+00:00,mnmamazed,RT @livenationph: #TREASURE #트레저 #TOUR #HELLO #PHILIPPINES #20230413 #LiveNationPH #YG
33,2023-01-18 04:15:25+00:00,BillingViews,"The USTDA and NOW Telecom have signed a letter of intent to follow through on plans to expand 5G in the Philippines as part of a broader US-Philippine alliance.

#philippines #5G #NOWtelecom #USTDA https://t.co/g6BzemdQwm"
34,2023-01-18 04:15:23+00:00,TannerHK,"The USTDA and NOW Telecom have signed a letter of intent to follow through on plans to expand 5G in the Philippines as part of a broader US-Philippine alliance.

#philippines #5G #NOWtelecom #USTDA https://t.co/nccQzXpZtj"
35,2023-01-18 04:15:00+00:00,WADPMNilakshiW1,"#javascript #webdevelopment #SmallBusiness #CodeNewbies #Philippines #100DaysOfCode #NodeJS #Malaysia #Russia #Poland #Australia #NewYork #London #Italy #Austria #Singapore #Vietnam #NewZealand #Brazil #Seoul #Japan #Ukraine 
A perfection of creativity https://t.co/l39bfbhQQQ"
36,2023-01-18 04:14:44+00:00,ginsanlaxa11,"RT @LupangHinirang_: Evolution of ASEAN Attire ❤️
 
#AsianSEAStory #SEAsian #ASEAN #Asia #AncientCostumes #NationalCostumes #Traditional #H…"
37,2023-01-18 04:13:56+00:00,ginsanlaxa11,"RT @LupangHinirang_: #Randang (#Maranao) 🇵🇭

This is a southeast Asia dish that can be found in #Philippines and Malaysia (also Sumatra in…"
38,2023-01-18 04:13:21+00:00,thomascarle,"1424 Thomas Carle - https://t.co/vNzKwFIEmu - Philippines Memories - Bohol, Countryside Tour. Chocolate hills impressions. #Philippines #ThomasCarle https://t.co/r2KSLnEvMi"
39,2023-01-18 04:11:54+00:00,GameDevMiniBot1,"RT @SEAGamethetic: Beat of the Heart (2022) | Developed by 
@doohpy , John Magallanes , and Paks (part of Game Jam+ Philippines/DevelUp)
#i…"
40,2023-01-18 04:11:47+00:00,ZdenekDolezal,"RT @SEAGamethetic: Beat of the Heart (2022) | Developed by 
@doohpy , John Magallanes , and Paks (part of Game Jam+ Philippines/DevelUp)
#i…"
41,2023-01-18 04:11:41+00:00,indiegamesdevel,"RT @SEAGamethetic: Beat of the Heart (2022) | Developed by 
@doohpy , John Magallanes , and Paks (part of Game Jam+ Philippines/DevelUp)
#i…"
42,2023-01-18 04:11:14+00:00,IndieGameFan1,"RT @SEAGamethetic: Beat of the Heart (2022) | Developed by 
@doohpy , John Magallanes , and Paks (part of Game Jam+ Philippines/DevelUp)
#i…"
43,2023-01-18 04:10:52+00:00,SEAGamethetic,"Beat of the Heart (2022) | Developed by 
@doohpy , John Magallanes , and Paks (part of Game Jam+ Philippines/DevelUp)
#indiedev #IndieGame #IndieGameDev #Philippines https://t.co/NcyO8uH313"
44,2023-01-18 04:10:06+00:00,MonicaBulanday,Donate @stopsoldiersuicide #sponsored #ad #brandambassador #stopsoldiersuicideXmonicabulanday #stopsoldiersuicide #monicabulandayaffiliates #monicabulandaypaidpartnerships #QueenOfAffiliatesAndPaidPartnerships #Philippines (All proceeds will go to the said organization above) https://t.co/GMT0c380a9
45,2023-01-18 04:09:13+00:00,rikifeitan,RT @livenationph: #TREASURE #트레저 #TOUR #HELLO #PHILIPPINES #20230413 #LiveNationPH #YG
46,2023-01-18 04:07:41+00:00,WhenInManila,"Best Steak in Manila : Wolfgangs Steakhouse Medium Rare Porterhouse Steaks 

#wheninmanila #wolfgangssteakhouse #wolfgangsteakhouse #steak #mediumrare #wolfgangs #wolfgang #steakhouse #manila #philippines"
47,2023-01-18 04:07:32+00:00,sahisan27,"RT @TREASURENATION_: [News] Live Nation Philippines, the organizer for PHILIPPINE leg of TREASURE's upcoming ASIA TOUR, changed their ticke…"
48,2023-01-18 04:07:27+00:00,gonxsukie,"RT @TREASURENATION_: [News] Live Nation Philippines, the organizer for PHILIPPINE leg of TREASURE's upcoming ASIA TOUR, changed their ticke…"
49,2023-01-18 04:07:03+00:00,HumanTimesMedia,The Philippine Court has upheld justice and acquitted Maria Ressa and Rappler of tax evasion charges. This is a great victory for press freedom in the Philippines! #JusticeForMariaRessa #PressFreedom #Rappler #Philippines
50,2023-01-18 04:06:47+00:00,Mohdhus15327859,"RT @ani_digital: Philippine Nobel laureate Maria Ressa cleared by court of tax evasion charges

Read @ANI Story | https://t.co/iy6vyuFaI7
#…"
51,2023-01-18 04:05:40+00:00,MABTaylor,"“Today, facts win, truth wins, justice wins,” - an irrepressible #MariaRessa. Such a gift to the #Philippines, such a gift to the world, such a gift to journalism. Bravo! https://t.co/CB4xAN2q0p"
52,2023-01-18 04:05:20+00:00,MarkKersten,"Big and good news:

Maria Ressa's Rappler outlet has been a terrific resource that bravely documented atrocities and crimes against humanity in the Duterte's 'drug war'.

Philippine journalist Maria Ressa cleared of tax evasion https://t.co/SOfIPytFOt #MariaRessa #Philippines"
53,2023-01-18 04:04:26+00:00,inthekart_kpop,Tags: #TREASURE #트레저 #TOUR #HELLO #PHILIPPINES #YG
54,2023-01-18 04:03:11+00:00,RealkathDee,"RT @TREASURENATION_: [News] Live Nation Philippines, the organizer for PHILIPPINE leg of TREASURE's upcoming ASIA TOUR, changed their ticke…"
55,2023-01-18 04:00:53+00:00,imberna17,RT @livenationph: #TREASURE #트레저 #TOUR #HELLO #PHILIPPINES #20230413 #LiveNationPH #YG
56,2023-01-18 04:00:51+00:00,hotcitiesworld,🔥 32°C/89°F in General Santos (PH): hottest city in the world right now! ✨ #hotcitiesworld #worldcities #globalcities #hotweather #heatwave #sunny #generalsantos #philippines ☀️🌴
57,2023-01-18 04:00:00+00:00,squawk7kdotnet,RT @FlyingFreak73: #aviationdaily #flightattendant s caught trying to smuggle onions into the #Philippines Details: https://t.co/dOmebxqkOG…
58,2023-01-18 03:59:50+00:00,FlyingFreak73,#aviationdaily #flightattendant s caught trying to smuggle onions into the #Philippines Details: https://t.co/dOmebxqkOG #aviation #aviationlovers #AvGeek #Avgeeks #Airlines #Airline #Boeing737 #Boeing777X #FLIGHT #flights #Airports #cabincrew #Aircraft #Pilot #AsiaPacific #news
59,2023-01-18 03:59:41+00:00,treasurepodong,RT @livenationph: #TREASURE #트레저 #TOUR #HELLO #PHILIPPINES #20230413 #LiveNationPH #YG
60,2023-01-18 03:59:21+00:00,CurtisSChin,"↕️ A #victory for #pressfreedom &amp; #justice but a lot more work ahead! #CourageON, @mariaressa! Here’s to a freer &amp; more prosperous #Philippines 🇵🇭. 

#FactsFirstPH 🧵 #HoldTheLine #DefendPressFreedom #resilience #democracy #ruleoflaw #muchmoreworktobedone https://t.co/2sKEN2pDaD"
61,2023-01-18 03:59:18+00:00,serndpty_pledis,RT @livenationph: #TREASURE #트레저 #TOUR #HELLO #PHILIPPINES #20230413 #LiveNationPH #YG
62,2023-01-18 03:58:18+00:00,DCB_Singapore,"Accounting Staff vacancy is open in Philippines. Apply now!
https://t.co/dbS2W6y23I
#Philippines #jobs #recruitment"
63,2023-01-18 03:54:53+00:00,manekyuwoohiyuk,"RT @TREASURENATION_: [News] Live Nation Philippines, the organizer for PHILIPPINE leg of TREASURE's upcoming ASIA TOUR, changed their ticke…"
64,2023-01-18 03:54:38+00:00,teumumsh,"RT @TREASURENATION_: [News] Live Nation Philippines, the organizer for PHILIPPINE leg of TREASURE's upcoming ASIA TOUR, changed their ticke…"
65,2023-01-18 03:54:34+00:00,CurtisSChin,"#Philippines' @MariaRessa cleared of tax evasion, calls verdict win for justice

The Philippines ranked 147 out of 180 nations in the 2022 World #PressFreedom Index, &amp; 7th in 2021 impunity index, which tracks deaths of media members whose killers go free.

https://t.co/KQDsRaHZYt"
66,2023-01-18 03:54:29+00:00,tix_cutie,"Hello! We still have few slots left on our ticket purchasing assistance for Treasure Membership Pre-sale. 

Slide into our dms if interested !

#TREASURE #트레저 #TOUR #HELLO #YG #PHILIPPINES #TREASURE_HELLO_IN_MANILA"
67,2023-01-18 03:52:56+00:00,LICASnews,"“Today, facts win. Truth wins.”

@rapplerdotcom #FactsFirstPH #Philippines #FactsMatter @NobelPrize

https://t.co/UvfgCe4DrE"
68,2023-01-18 03:48:14+00:00,MNowNews,"The tax evasion case stemmed from accusations by the state revenue agency that Rappler had omitted from its tax returns the proceeds of a 2015 sale of depositary receipts to foreign investors.

#MalaysiaNow #MNow #MNowNews #Philippines #rappler 

https://t.co/nnyAB8EBqP"
69,2023-01-18 03:47:27+00:00,ANI,"RT @ani_digital: Philippine Nobel laureate Maria Ressa cleared by court of tax evasion charges

Read @ANI Story | https://t.co/iy6vyuFaI7
#…"
70,2023-01-18 03:47:21+00:00,mithu796311,"RT @ani_digital: Philippine Nobel laureate Maria Ressa cleared by court of tax evasion charges

Read @ANI Story | https://t.co/iy6vyuFaI7
#…"
71,2023-01-18 03:45:55+00:00,ani_digital,"Philippine Nobel laureate Maria Ressa cleared by court of tax evasion charges

Read @ANI Story | https://t.co/iy6vyuFaI7
#Philippines #MariaRessa #Philippine https://t.co/fVlzSiZmYv"
72,2023-01-18 03:45:20+00:00,thomascarle,1138 Thomas Carle - https://t.co/vNzKwFIEmu - Philippines Memories - On our way to Boracay. Philippines from above. #Philippines #ThomasCarle https://t.co/SY7XdzYGQi
73,2023-01-18 03:43:21+00:00,superkingcowb17,"RT @TREASURENATION_: [News] Live Nation Philippines, the organizer for PHILIPPINE leg of TREASURE's upcoming ASIA TOUR, changed their ticke…"
74,2023-01-18 03:41:06+00:00,_teumejoy03,"RT @TREASURENATION_: [News] Live Nation Philippines, the organizer for PHILIPPINE leg of TREASURE's upcoming ASIA TOUR, changed their ticke…"
75,2023-01-18 03:40:28+00:00,thomascarle,"1433 Thomas Carle - https://t.co/vNzKwFIEmu - Philippines Memories - Bohol, Countryside Tour. The Tarsier. The worlds smallest monkey. #Philippines #ThomasCarle https://t.co/RBi54YGQQq"
76,2023-01-18 03:40:19+00:00,joyyourock,"RT @TREASURENATION_: [News] Live Nation Philippines, the organizer for PHILIPPINE leg of TREASURE's upcoming ASIA TOUR, changed their ticke…"
77,2023-01-18 03:39:42+00:00,bj_teume,RT @livenationph: #TREASURE #트레저 #TOUR #HELLO #PHILIPPINES #20230413 #LiveNationPH #YG
78,2023-01-18 03:39:30+00:00,blinkiearriz20,"RT @TREASURENATION_: [News] Live Nation Philippines, the organizer for PHILIPPINE leg of TREASURE's upcoming ASIA TOUR, changed their ticke…"
79,2023-01-18 03:37:28+00:00,trejohamburger2,"RT @TREASURENATION_: [News] Live Nation Philippines, the organizer for PHILIPPINE leg of TREASURE's upcoming ASIA TOUR, changed their ticke…"
80,2023-01-18 03:36:59+00:00,theinsidexpress,"""Maria Ressa Cleared of Tax Evasion Charges in Philippines""
#News
#Charges #cleared #evasion #Maria #Philippines #Ressa #Tax #News #Charges #cleared #evasion #Maria #Philippines #Ressa #Tax
https://t.co/aODDGCbEIZ"
81,2023-01-18 03:36:46+00:00,fjuanstore,Formula Juan Store is Your One-Stop Shop for Official F1 Merch in the Philippines! https://t.co/XuRZK4zfcf #f1 #formulaone #formula1 #f1merch #formula1merch #formulaonemerch #FJuan #f1ph #manila #philippines #FJuanFits #formulajuanstore #formulajuan #fjuanmerch #fjuanstore
82,2023-01-18 03:36:30+00:00,Anfrel,"""More than one million voters have registered for the barangay and Sangguniang Kabataan #elections set in October, according to the Commission on Elections."" #Philippines #BSKE2023 

https://t.co/75S1yResf3"
83,2023-01-18 03:33:11+00:00,psnyle,"RT @Pearlynstravent: Welcome back to PH 🇵🇭Oppa Kim Soo Hyun😍Salamat @dunkinph 

#KimSooHyun
#DunkinPHxKimSoohyun 
#kimsoohyunxdunkinph #Phi…"
84,2023-01-18 03:31:49+00:00,YedeeO,"RT @TREASURENATION_: [News] Live Nation Philippines, the organizer for PHILIPPINE leg of TREASURE's upcoming ASIA TOUR, changed their ticke…"
85,2023-01-18 03:31:43+00:00,DCB_Singapore,"Production Office Staff vacancy is open in Philippines. Apply now!
https://t.co/eE0EnwhIfi
#Philippines #jobs #recruitment"
86,2023-01-18 03:31:34+00:00,MaciasNguema,RT @LucasADWebber: Communist militants across the #Philippines continue to pay respects to CPP Founding Chairman Jose Maria Sison https://t…
87,2023-01-18 03:30:30+00:00,clustereum,"Mister Tourism World 2023 

Jonathan Checo of the #DominicanRepublic will crown his successor on 4 February 2023 in #CabanatuanCity #NuevaEcija #Philippines

Who is your favorite to win?

Poster: Mister Tourism World
#mistertourismworld
#misterdominicanrepublic #musclemen https://t.co/boMC1xil0a"
88,2023-01-18 03:30:11+00:00,DasFintechBot,RT @FintechSIN: BillEase Partners Alipay+ to Offer BNPL Payment Option for Filipinos. https://t.co/ExFK9ix35b @BillEasePH @AlipayPlus #fint…
89,2023-01-18 03:30:11+00:00,DasFintechBot,RT @FintechPH: BillEase Partners Alipay+ to Offer BNPL Payment Option for Filipinos. https://t.co/MhjpQkgnq2 @BillEasePH @AlipayPlus #finte…
90,2023-01-18 03:29:56+00:00,FintechSIN,BillEase Partners Alipay+ to Offer BNPL Payment Option for Filipinos. https://t.co/ExFK9ix35b @BillEasePH @AlipayPlus #fintech #philippines #BNPL #financialservices #digitalpayments #lending https://t.co/HfrU86r42s
91,2023-01-18 03:29:49+00:00,ishianna5,"RT @TREASURENATION_: [News] Live Nation Philippines, the organizer for PHILIPPINE leg of TREASURE's upcoming ASIA TOUR, changed their ticke…"
92,2023-01-18 03:29:42+00:00,FintechPH,BillEase Partners Alipay+ to Offer BNPL Payment Option for Filipinos. https://t.co/MhjpQkgnq2 @BillEasePH @AlipayPlus #fintech #philippines #BNPL #financialservices #digitalpayments #lending https://t.co/5KWozMNDDg
93,2023-01-18 03:29:36+00:00,shakixra,RT @livenationph: #TREASURE #트레저 #TOUR #HELLO #PHILIPPINES #20230413 #LiveNationPH #YG
94,2023-01-18 03:29:16+00:00,NancyDon171,"No.2 Container Loading, from China to Philippines🇨🇳
one stop door to door shipping to Phlippines🇵🇭

pls feel free to contact us if you need cargo shipping service☎️
📧:sales4@myhomecargo.net
Wechat/Whatsapp:+86 18024257764

#shippingcompany #shippingagent #forwarder #Philippines https://t.co/a9BcHQmdjl"
95,2023-01-18 03:29:06+00:00,teulove012,"RT @TREASURENATION_: [News] Live Nation Philippines, the organizer for PHILIPPINE leg of TREASURE's upcoming ASIA TOUR, changed their ticke…"
96,2023-01-18 03:28:51+00:00,YD05072002,"RT @TREASURENATION_: [News] Live Nation Philippines, the organizer for PHILIPPINE leg of TREASURE's upcoming ASIA TOUR, changed their ticke…"
97,2023-01-18 03:28:13+00:00,MonicaBulanday,Donate @macmillancancer #ad #brandambassador #macmillancancersupportXmonicabulanday #macmillancancersupport #monicabulandayaffiliates #monicabulandaypaidpartnerships #QueenOfAffiliatesAndPaidPartnerships #Philippines (All proceeds will go to the said organization above) https://t.co/P6qtU5QbpE
98,2023-01-18 03:27:30+00:00,kaofannn,"RT @TREASURENATION_: [News] Live Nation Philippines, the organizer for PHILIPPINE leg of TREASURE's upcoming ASIA TOUR, changed their ticke…"
99,2023-01-18 03:27:16+00:00,Ahnhaniday,"RT @TREASURENATION_: [News] Live Nation Philippines, the organizer for PHILIPPINE leg of TREASURE's upcoming ASIA TOUR, changed their ticke…"
100,2023-01-18 03:24:37+00:00,nobeernolife38,"RT @EASLofficial_jp: PBA CONVERGE FIBERXERSのクインシー・ミラー選手は昨夜のTNTトロパンギガ戦で大活躍🔥🔥

#easl #bleague #terrifictogether #basketball #バスケットボール #pba #P…"
101,2023-01-18 03:23:33+00:00,Curururuchi,"RT @TREASURENATION_: [News] Live Nation Philippines, the organizer for PHILIPPINE leg of TREASURE's upcoming ASIA TOUR, changed their ticke…"
102,2023-01-18 03:23:02+00:00,adriane_tobias,"Chiang Mai’s forests really remind me of Kalinga in Cordillera Central, #Philippines. 

Pine trees, high elevation, and lots of endemic plants! 🌱 https://t.co/afSFiUjnqY"
103,2023-01-18 03:21:38+00:00,dreidaily,RT @livenationph: #TREASURE #트레저 #TOUR #HELLO #PHILIPPINES #20230413 #LiveNationPH #YG
104,2023-01-18 03:21:23+00:00,thomascarle,1110 Thomas Carle - https://t.co/vNzKwFIEmu - Philippines Memories - On our way to Boracay. Philippines from above. #Philippines #Travel https://t.co/72CWZ9RtZJ
105,2023-01-18 03:20:34+00:00,RVstcin,"RT @TREASURENATION_: [News] Live Nation Philippines, the organizer for PHILIPPINE leg of TREASURE's upcoming ASIA TOUR, changed their ticke…"
106,2023-01-18 03:19:30+00:00,bbnihoon,"RT @TREASURENATION_: [News] Live Nation Philippines, the organizer for PHILIPPINE leg of TREASURE's upcoming ASIA TOUR, changed their ticke…"
107,2023-01-18 03:19:26+00:00,Princevader48,RT @livenationph: #TREASURE #트레저 #TOUR #HELLO #PHILIPPINES #20230413 #LiveNationPH #YG
108,2023-01-18 03:18:45+00:00,harukyu_mashi,"RT @TREASURENATION_: [News] Live Nation Philippines, the organizer for PHILIPPINE leg of TREASURE's upcoming ASIA TOUR, changed their ticke…"
109,2023-01-18 03:18:23+00:00,my__paraluman,RT @livenationph: #TREASURE #트레저 #TOUR #HELLO #PHILIPPINES #20230413 #LiveNationPH #YG
110,2023-01-18 03:18:10+00:00,aimjikyu,"RT @TREASURENATION_: [News] Live Nation Philippines, the organizer for PHILIPPINE leg of TREASURE's upcoming ASIA TOUR, changed their ticke…"
111,2023-01-18 03:18:05+00:00,NST_Online,"#NSTworld The Court of Tax Appeals ruled that prosecutors failed to prove ""beyond reasonable doubt"" that Ressa and Rappler Holdings Corp. evaded tax payments in four instances. 

#MariaRessa #Corruption #Court #Philippines 

https://t.co/pgM6yTSONA"
112,2023-01-18 03:18:03+00:00,JuuuuKyun,"RT @TREASURENATION_: [News] Live Nation Philippines, the organizer for PHILIPPINE leg of TREASURE's upcoming ASIA TOUR, changed their ticke…"
113,2023-01-18 03:17:44+00:00,TeumeInseoVIP,"RT @TREASURENATION_: [News] Live Nation Philippines, the organizer for PHILIPPINE leg of TREASURE's upcoming ASIA TOUR, changed their ticke…"
114,2023-01-18 03:17:08+00:00,asahibabeee,"RT @TREASURENATION_: [News] Live Nation Philippines, the organizer for PHILIPPINE leg of TREASURE's upcoming ASIA TOUR, changed their ticke…"
115,2023-01-18 03:15:56+00:00,MonicaBulanday,Donate @BreastCancerNow #affiliate #sponsored #ad #brandambassador #breastcancernowXmonicabulanday #breastcancernow #monicabulandayaffiliates #monicabulandaypaidpartnerships #QueenOfAffiliatesAndPaidPartnerships #Philippines (All proceeds will go to the said organization above) https://t.co/nngkbQ4tkA
116,2023-01-18 03:15:05+00:00,zoa_xxi,"RT @TREASURENATION_: [News] Live Nation Philippines, the organizer for PHILIPPINE leg of TREASURE's upcoming ASIA TOUR, changed their ticke…"
117,2023-01-18 03:15:00+00:00,teumekyuhi,"RT @TREASURENATION_: [News] Live Nation Philippines, the organizer for PHILIPPINE leg of TREASURE's upcoming ASIA TOUR, changed their ticke…"
118,2023-01-18 03:14:59+00:00,gaileganda,RT @livenationph: #TREASURE #트레저 #TOUR #HELLO #PHILIPPINES #20230413 #LiveNationPH #YG
119,2023-01-18 03:14:31+00:00,asahikyuuuu,"RT @TREASURENATION_: [News] Live Nation Philippines, the organizer for PHILIPPINE leg of TREASURE's upcoming ASIA TOUR, changed their ticke…"
120,2023-01-18 03:14:18+00:00,ezra_0_0,"RT @TREASURENATION_: [News] Live Nation Philippines, the organizer for PHILIPPINE leg of TREASURE's upcoming ASIA TOUR, changed their ticke…"
121,2023-01-18 03:13:17+00:00,laduls,RT @livenationph: #TREASURE #트레저 #TOUR #HELLO #PHILIPPINES #20230413 #LiveNationPH #YG
122,2023-01-18 03:13:00+00:00,phaajaa,"RT @TREASURENATION_: [News] Live Nation Philippines, the organizer for PHILIPPINE leg of TREASURE's upcoming ASIA TOUR, changed their ticke…"
123,2023-01-18 03:12:56+00:00,nishirikx,"hello! pwede ba magpurchase tix online sa general selling? 

#TREASURE #트레저 #TOUR #HELLO #PHILIPPINES #20230413 #LiveNationPH #YG"
124,2023-01-18 03:12:41+00:00,hynskmyfriend,"RT @TREASURENATION_: [News] Live Nation Philippines, the organizer for PHILIPPINE leg of TREASURE's upcoming ASIA TOUR, changed their ticke…"
125,2023-01-18 03:12:30+00:00,bangyedaamn,"RT @TREASURENATION_: [News] Live Nation Philippines, the organizer for PHILIPPINE leg of TREASURE's upcoming ASIA TOUR, changed their ticke…"
